x,y,z,sdx,sdy,sdz,ID,time
2324.31491116936,2701.74487268554,33.1714424915493,17.8136948891469,16.8084570572297,21.0174958462637,1,549
2309.54695340208,2666.32316766915,13.700018766872,21.9568835633278,20.0303138780376,36.5651010172129,1,108
2253.75158577183,2610.64370887484,45.8952770889605,14.0301638963122,39.9815433047216,12.4936586614011,1,97
2344.02497025677,2641.01044112162,60.5076194317344,35.6200997441158,18.2231564209047,29.2400727112838,1,413
2282.64579551867,2672.55693496302,11.6141924786867,23.1149861463088,34.2403195106043,6.11952831649536,1,546
2283.90702771029,2646.67485662044,56.6877341272284,32.8394694160643,29.1807966060925,16.3737532214732,1,315
2357.24443985876,2778.39118414323,11.4791130372707,47.3850747351237,16.3450486919176,14.9684389702116,1,269
2343.3858364123,2680.6539486424,101.439614325298,44.090555030261,21.4620136939514,33.8092470602504,1,137
2301.19675181879,2648.05611436152,53.3476371258741,8.54029078855342,55.0972653374473,21.7533324441192,1,899
2280.77463291932,2629.75599566312,49.4286610815548,29.8068053812978,26.6090432669506,30.6696008763969,1,69
2338.14770113325,2602.12089710874,11.0075198007289,39.9379072363003,16.4987514328958,30.4269078568692,1,519
2247.60613570082,2609.43927978223,46.3726664426681,39.5897686463011,52.9660851567671,29.7502141969855,1,961
2262.39066277272,2735.21471964278,7.20416678095813,47.0886972508919,29.0568145351416,28.9633919014482,1,952
2241.26433289725,2663.95337534457,38.3755946919488,17.8652097270728,18.9370702317164,37.3289393930548,1,57
2297.02700372505,2670.43880473628,28.4501274751747,11.5119905447836,23.4367406264533,16.9035424566974,1,122
2263.18580214554,2648.21985720252,61.7645788841417,17.8786627652794,50.1193309556047,31.2458053893709,1,909
2311.1745716264,2652.58419581516,72.4066133990624,59.0150335236924,33.5539585205291,48.9011625460837,1,705
2297.73151583449,2683.83376436755,49.2166658254616,10.3969492114757,26.046663619609,31.5194348641409,1,675
2340.74168904976,2796.78381464315,64.7263842783633,85.0233475947216,44.0069554774584,33.7213941600067,1,526
2355.36987268578,2619.11991742293,45.3538800893067,32.868007232282,21.771452830591,19.6211001766591,1,770
2311.38410725741,2599.39497672976,5.9534747142682,44.7709167644546,24.1466099144746,28.1931569320875,1,202
2234.42904246924,2703.93412874081,25.4947912919975,21.7718794358774,48.9805749390907,21.2181263691245,1,941
2292.53972338974,2633.09970906027,59.1494126278867,16.0613716089982,35.6141638998794,37.4607879922456,1,576
2318.84653063118,2633.16396286909,36.2983511741773,29.4644189106912,15.6428278675758,30.8128950445159,1,697
2253.90132367564,2628.37749995537,16.038609561298,45.634409967676,32.2896241910185,22.1942422098073,1,767
2313.51484891008,2657.21392327336,57.4723647258658,13.5724837163766,27.5460726481304,19.1188400142244,1,490
2271.62795486412,2669.3610097458,63.0638237090267,28.6952720032171,5.24081457024657,29.2844972349095,1,739
2331.02172736155,2661.08166662258,54.2175166101321,34.7716015597061,41.9008929460268,16.9626821657933,1,628
2362.82572373453,2802.88394432049,106.142609551222,75.2497667515272,20.1522661055953,20.110022450522,1,326
2298.4176542995,2633.36844271599,51.601324239524,15.7701478763297,28.2823906040359,34.1271877033066,1,871
